time	gFx	gFy	gFz	TgF
1.175201093	0,0331	0,1967	0,9835	1,004
1.178384531	0,0343	0,2004	0,9906	1,011
1.181637187	0,0336	0,2038	0,9969	1,018
1.182531562	0,0353	0,204	0,9964	1,018
1.185362448	0,0311	0,2102	0,9913	1,014
1.188386614	0,0319	0,2109	0,9854	1,008
1.190655625	0,0304	0,2126	0,9788	1,002
1.193277968	0,0321	0,2128	0,9771	1,001
1.194171979	0,0321	0,2119	0,9801	1,003
1.196988958	0,0355	0,2124	0,9866	1,01
1.200472604	0,0404	0,2077	0,9888	1,011
1.201585625	0,0426	0,2124	0,9976	1,021
1.204462396	0,0419	0,2177	0,9996	1,024
1.206654739	0,0412	0,2216	1,0008	1,026
1.211635781	0,0441	0,228	1,0011	1,028
1.213241354	0,0407	0,2263	0,995	1,021
1.214107187	0,036	0,2297	1,0018	1,028
1.216901979	0,0289	0,2324	1,0055	1,032
1.217872135	0,026	0,2321	1,0059	1,033
1.222280156	0,0226	0,2321	1,005	1,032
1.22406125	0,0219	0,2292	1,0059	1,032
1.226184114	0,0204	0,2277	1,0045	1,03
1.228047135	0,0211	0,2299	1,0069	1,033
1.23068651	0,0238	0,2287	1,0064	1,032
1.233278281	0,0314	0,229	1,0064	1,033
1.235714427	0,036	0,229	1,0101	1,036
1.237990729	0,0402	0,2277	1,0103	1,036
1.240413385	0,0407	0,2302	1,0108	1,038
1.24244625	0,0409	0,2304	1,0086	1,035
1.245523541	0,0424	0,2317	1,0094	1,036
1.246751614	0,0446	0,2351	1,0108	1,039
1.250331875	0,0451	0,2324	1,014	1,041
1.252510937	0,0436	0,2307	1,0135	1,04
1.254717656	0,0436	0,2319	1,0128	1,04
1.257259271	0,0412	0,2326	1,0081	1,035
1.259203177	0,0439	0,2297	1,004	1,031
1.262191354	0,0446	0,2312	0,9998	1,027
1.264646927	0,0463	0,2343	0,9979	1,026
1.266696979	0,0463	0,2351	0,9964	1,025
1.269415	0,0478	0,2299	0,9969	1,024
1.271978333	0,0473	0,2309	0,9998	1,027
1.274107864	0,0504	0,2287	1,0028	1,03
1.277326666	0,05	0,2299	1,0011	1,028
1.278690677	0,0507	0,2265	0,9974	1,024
1.281885625	0,05	0,2282	0,9942	1,021
1.287552656	0,047	0,2263	0,994	1,02
1.288075573	0,0453	0,2285	0,9874	1,014
1.288274166	0,0409	0,2312	0,984	1,012
1.290486666	0,0419	0,2336	0,9837	1,012
1.29292	0,0368	0,2356	0,984	1,012
1.295725781	0,0324	0,2378	0,9874	1,016
1.298272812	0,0289	0,2353	0,9842	1,012
1.299909166	0,0294	0,2331	0,9815	1,009
1.302897864	0,0314	0,2329	0,9827	1,01
1.305257708	0,0336	0,2319	0,9835	1,011
1.307925156	0,0397	0,2277	0,9888	1,016
1.309889166	0,0434	0,2233	0,9913	1,017
1.312494114	0,0453	0,2216	0,9967	1,022
1.315275729	0,0519	0,2209	0,9998	1,025
1.317396198	0,0558	0,2199	0,9991	1,025
1.319783229	0,06	0,2192	0,9984	1,024
1.32221901	0,0619	0,2214	0,9986	1,025
1.325994531	0,061	0,2238	1,0008	1,027
1.327145416	0,0602	0,2224	1,0013	1,027
1.328955156	0,061	0,2226	1,0016	1,028
1.331966927	0,0568	0,2248	1,0047	1,031
1.334463437	0,0548	0,2265	1,0067	1,033
1.336170208	0,0553	0,2258	1,0094	1,036
1.33912125	0,057	0,2231	1,0123	1,038
1.34099552	0,0568	0,2231	1,013	1,039
1.343948802	0,057	0,2226	1,0118	1,038
1.346639479	0,0563	0,2207	1,0128	1,038
1.348087291	0,0583	0,2236	1,0133	1,039
1.351000625	0,0558	0,2238	1,0135	1,039
1.353283593	0,0548	0,2238	1,0118	1,038
1.356480312	0,0531	0,2231	1,0081	1,034
